,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December
,Загрузка,Количество,Загрузка,Количество,Загрузка,Количество,Загрузка,Количество,Загрузка,Количество,Загрузка,Количество,Загрузка,Количество,Загрузка,Количество,Загрузка,Количество,Загрузка,Количество,Загрузка,Количество,Загрузка,Количество
Name,,,,,,,,,,,,,,,,,,,,,,,,
Автобетоносмеситель,0.0%,0,0.0%,0,22.2%,1,35.7%,6,39.5%,6,60.7%,2,35.1%,7,42.1%,6,30.7%,5,26.8%,3,0.0%,0,0.0%,0
Асфальтобетонщик,13.5%,1,0.0%,0,33.6%,3,41.1%,16,43.9%,11,39.8%,5,65.2%,16,54.2%,22,61.6%,15,43.9%,12,25.5%,2,0.0%,0
Автогудронатор,0.0%,0,0.0%,0,5.7%,1,8.5%,2,13.8%,1,4.3%,1,13.3%,1,45.5%,2,5.8%,2,10.8%,1,1.0%,1,0.0%,0
Асфальтоперегружатель,0.0%,0,0.0%,0,11.3%,1,36.8%,2,33.1%,2,25.2%,1,22.1%,2,24.9%,3,24.8%,2,24.9%,2,4.2%,1,0.0%,0
"Автосамосвал, грузоподъемность от 22 до 27 т",58.2%,30,73.9%,32,79.6%,25,76.1%,56,67.9%,71,76.6%,56,84.8%,97,83.3%,81,79.4%,77,66.7%,48,64.9%,35,79.1%,3
"Асфальтоукладчик, с шириной укладки до 3,4 м",0.0%,0,0.0%,0,5.0%,1,1.2%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
"Асфальтоукладчик, с шириной укладки от 6 до 9 м",0.0%,0,0.0%,0,8.7%,1,37.7%,1,4.3%,1,1.5%,1,25.7%,1,55.7%,1,50.9%,2,32.5%,1,2.3%,1,0.0%,0
"Асфальтоукладчик, с шириной укладки от 6 до 16 м",0.0%,0,0.0%,0,6.3%,1,36.0%,2,33.2%,2,18.5%,1,35.2%,1,32.1%,2,26.5%,2,24.9%,2,1.8%,1,0.0%,0
"Асфальтоукладчик, с шириной укладки от 2,5 до 6 м",3.2%,1,0.0%,0,5.0%,1,6.7%,1,13.0%,1,14.4%,2,68.2%,2,46.3%,2,14.0%,1,11.0%,1,1.0%,1,0.0%,0
Автомобиль бортовой,20.4%,2,30.2%,3,30.4%,2,39.4%,7,33.1%,4,40.9%,7,53.3%,10,48.9%,8,48.6%,5,32.8%,5,32.6%,2,22.7%,2
Автомобиль бортовой с КМУ,24.2%,1,8.4%,2,18.3%,1,8.7%,2,11.3%,1,31.7%,2,32.0%,3,16.8%,2,22.0%,2,11.9%,2,2.0%,1,0.8%,1
Автоцементовоз,20.5%,1,18.7%,1,14.2%,1,15.7%,1,3.3%,1,19.7%,2,0.0%,0,0.0%,0,27.3%,1,34.0%,1,38.5%,1,13.5%,1
Автогрейдер,19.8%,2,29.8%,1,7.3%,1,48.6%,3,45.5%,3,45.2%,4,62.3%,6,41.3%,4,45.5%,2,28.5%,3,18.2%,1,3.0%,1
Автопланировщик,0.0%,0,0.0%,0,23.8%,1,53.0%,1,0.0%,0,31.8%,2,7.5%,1,31.8%,1,0.0%,0,42.6%,2,0.0%,0,0.0%,0
Бордюроукладчик (GOMACO GT-3600; 4400),0.0%,0,0.0%,0,0.0%,0,30.7%,1,15.2%,1,3.0%,1,16.8%,1,37.3%,1,17.3%,1,14.7%,1,0.0%,0,0.0%,0
Бетонщик,0.0%,0,0.0%,0,0.0%,0,31.2%,8,20.8%,6,48.2%,10,81.7%,15,80.6%,18,64.8%,17,24.5%,5,0.0%,0,0.0%,0
Бетоноукладчик с шириной укладки до 6 м (GOMACO COMMANDER III),0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,18.7%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Бульдозер мощностью от 81 до 179 л.с,54.2%,2,73.2%,1,36.0%,2,64.3%,6,63.8%,5,78.5%,5,80.2%,8,74.3%,4,71.5%,4,71.9%,3,70.4%,2,7.3%,1
Бульдозер мощностью свыше 300 л.с.,0.3%,1,0.0%,0,0.0%,0,0.0%,0,4.7%,1,8.3%,1,2.5%,1,6.0%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Бульдозер мощностью от 180 до 300 л.с.,56.9%,4,60.7%,5,71.8%,4,66.9%,3,70.0%,4,62.9%,9,82.6%,13,72.4%,9,80.6%,6,70.4%,3,62.9%,4,47.9%,3
"Экскаватор гусеничный аналог мод. 180-260, Vср ковша 0,95-1,4 м3",23.5%,1,8.8%,1,28.8%,2,63.2%,4,67.4%,4,67.4%,7,37.3%,3,35.0%,3,61.9%,2,48.5%,2,12.0%,1,0.0%,0
"Экскаватор гусеничный аналог мод. 270-360, Vср ковша 1,4-1,7 м3",54.0%,10,81.7%,6,61.9%,5,79.0%,3,49.6%,5,64.4%,4,75.5%,5,66.0%,4,65.1%,3,31.3%,2,36.2%,1,45.3%,1
"Экскаватор гусеничный аналог мод. 370-470, Vср ковша 1,7-2,5 м3",54.0%,2,66.1%,3,83.2%,2,53.6%,6,55.5%,4,70.7%,11,74.8%,8,56.0%,4,41.0%,4,43.9%,3,47.8%,1,0.0%,0
"Экскаватор колесный, Vср ковша 0,4-0,95 м3",11.8%,2,25.6%,2,15.7%,2,24.1%,4,10.4%,2,36.4%,4,39.2%,8,30.4%,3,35.3%,3,28.5%,1,21.3%,1,14.9%,2
Экскаватор-планировщик,0.0%,0,0.0%,0,34.9%,2,82.6%,2,68.7%,4,48.1%,2,19.5%,1,30.8%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Экскаватор-погрузчик,12.5%,1,28.8%,2,16.0%,1,30.5%,5,52.4%,5,62.4%,6,51.2%,11,55.9%,6,60.8%,5,49.7%,2,15.5%,1,7.0%,1
"Фронтальный погрузчик средний, объем ковша от 2 до 4 м3",48.7%,2,87.3%,2,64.9%,2,34.7%,1,0.0%,0,59.8%,6,66.9%,3,16.7%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0
"Фронтальный погрузчик большой, объем ковша свыше 4 м3",0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,4.8%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Фреза дорожная с шириной барабана от 500 до 1400мм,47.5%,1,20.3%,1,0.0%,0,0.3%,1,0.0%,0,36.3%,1,8.0%,1,6.3%,1,38.7%,1,50.1%,2,51.7%,2,28.7%,1
Фреза дорожная с шириной барабана от 1500 мм до 2200 мм,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,78.4%,4,92.0%,4,31.8%,1,0.0%,0,0.0%,0,0.0%,0
Каток дорожный гладковальцовый,3.2%,1,0.0%,0,35.9%,2,38.6%,14,41.5%,9,40.5%,3,63.6%,12,52.5%,17,54.8%,13,41.0%,10,13.5%,2,0.0%,0
Каток дорожный комбинированный,3.2%,1,0.0%,0,35.2%,1,43.3%,5,35.9%,4,31.2%,2,69.7%,5,55.1%,7,59.5%,5,41.2%,4,4.8%,1,0.0%,0
Каток дорожный пневмоколесный,0.0%,0,0.0%,0,30.2%,1,41.7%,5,44.7%,3,40.3%,1,66.0%,5,53.3%,7,57.7%,5,39.0%,4,4.8%,1,0.0%,0
Каток грунтовый,44.2%,4,43.8%,2,27.1%,2,58.2%,5,64.0%,6,66.0%,8,87.2%,11,82.1%,8,70.0%,9,80.8%,4,62.2%,4,42.2%,2
Каток тротуарный,0.0%,0,0.0%,0,0.0%,0,2.3%,1,0.0%,0,0.0%,0,102.3%,2,80.7%,2,57.4%,2,103.3%,2,44.3%,1,0.0%,0
Автокран грузоподъемностью до 25 т,17.1%,2,21.5%,2,22.7%,1,24.2%,3,37.9%,2,38.3%,3,44.4%,5,59.3%,5,53.1%,3,52.2%,5,22.8%,2,0.3%,1
Минипогрузчик,2.2%,1,0.0%,0,8.0%,1,22.4%,3,19.8%,2,23.4%,2,53.1%,5,57.2%,5,35.1%,3,27.6%,2,11.5%,1,0.0%,0
Минитрактор,0.0%,0,0.0%,0,0.0%,0,13.5%,1,0.0%,0,0.0%,0,11.8%,1,0.0%,0,11.3%,1,10.3%,1,6.2%,1,0.0%,0
Основной рабочий,53.7%,36,59.4%,44,70.3%,31,69.9%,97,74.8%,82,75.8%,117,74.2%,185,67.0%,124,70.3%,78,68.7%,69,64.5%,30,63.9%,13
Машина для ремонта дорожных покрытий,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,14.0%,1,1.2%,1,0.0%,0,0.0%,0,5.8%,1,0.0%,0
Машина щеточная,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,2.2%,1,28.6%,2,2.2%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Машина для снятия фаски,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,11.7%,1,41.8%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Нарезчик швов мощностью более 15 кВт,0.0%,0,0.0%,0,0.0%,0,12.2%,2,5.9%,2,37.4%,3,44.8%,2,29.7%,1,6.8%,2,11.7%,1,0.0%,0,0.0%,0
Плавильно-заливочная машина,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,3.0%,1,39.5%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Машина поливомоечная,47.0%,3,48.0%,3,47.2%,3,44.6%,6,49.3%,5,54.9%,9,77.0%,10,70.1%,10,54.9%,10,61.4%,6,45.6%,5,61.3%,3
Распределитель бетона,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,18.7%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Ресайклер,13.3%,1,34.8%,1,20.8%,2,45.0%,1,11.3%,1,29.7%,3,0.0%,0,0.0%,0,48.5%,1,0.0%,0,11.7%,1,12.0%,1
Станция компрессорная,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,29.8%,1,56.8%,2,51.6%,2,87.0%,1,0.0%,0,0.5%,1,0.0%,0
"Трактор колесный, мощностью от 51 до 100 л.с.",36.8%,2,39.8%,3,54.6%,2,45.0%,1,11.3%,1,44.2%,4,1.2%,1,0.0%,0,40.9%,2,71.5%,2,67.9%,2,75.7%,2
"Текстуровщик, ширина текстурирования до 10 м",0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,18.7%,1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Уширитель дорожного полотна,0.0%,0,0.0%,0,0.0%,0,2.3%,1,0.2%,1,0.2%,1,102.3%,2,80.7%,2,57.4%,2,103.3%,2,44.3%,1,0.0%,0
Виброрейка,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,63.7%,1,103.2%,1,87.0%,1,0.0%,0,0.0%,0,0.0%,0
Виброплита,20.4%,3,35.9%,3,23.6%,3,35.4%,6,25.4%,6,36.1%,6,42.3%,11,41.7%,10,38.4%,6,29.6%,3,8.2%,2,1.2%,1
