,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December
,Загрузка,Трудоёмкость,Загрузка,Трудоёмкость,Загрузка,Трудоёмкость,Загрузка,Трудоёмкость,Загрузка,Трудоёмкость,Загрузка,Трудоёмкость,Загрузка,Трудоёмкость,Загрузка,Трудоёмкость,Загрузка,Трудоёмкость,Загрузка,Трудоёмкость,Загрузка,Трудоёмкость,Загрузка,Трудоёмкость
Name,,,,,,,,,,,,,,,,,,,,,,,,
Автобетоносмеситель,0.0%,0,0.0%,0,22.2%,133,35.7%,1286,39.5%,1421,60.7%,728,35.1%,1476,42.1%,1514,30.7%,920,26.8%,482,0.0%,0,0.0%,0
Асфальтобетонщик,13.5%,81,0.0%,0,33.6%,605,41.1%,3949,43.9%,2896,39.8%,1195,65.2%,6264,54.2%,7160,61.6%,5545,43.9%,3161,25.5%,306,0.0%,0
Автогудронатор,0.0%,0,0.0%,0,5.7%,34,8.5%,102,13.8%,83,4.3%,26,13.3%,80,45.5%,546,5.8%,70,10.8%,65,1.0%,6,0.0%,0
Асфальтоперегружатель,0.0%,0,0.0%,0,11.3%,68,36.8%,442,33.1%,397,25.2%,151,22.1%,265,24.9%,449,24.8%,298,24.9%,299,4.2%,25,0.0%,0
"Автосамосвал, грузоподъемность от 22 до 27 т",58.2%,10480,73.9%,14192,79.6%,11945,76.1%,25560,67.9%,28929,76.6%,25734,84.8%,49368,83.3%,40485,79.4%,36689,66.7%,19203,64.9%,13621,79.1%,1424
"Асфальтоукладчик, с шириной укладки до 3,4 м",0.0%,0,0.0%,0,5.0%,30,1.2%,7,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
"Асфальтоукладчик, с шириной укладки от 6 до 9 м",0.0%,0,0.0%,0,8.7%,52,37.7%,226,4.3%,26,1.5%,9,25.7%,154,55.7%,334,50.9%,611,32.5%,195,2.3%,14,0.0%,0
"Асфальтоукладчик, с шириной укладки от 6 до 16 м",0.0%,0,0.0%,0,6.3%,38,36.0%,432,33.2%,398,18.5%,111,35.2%,211,32.1%,385,26.5%,318,24.9%,299,1.8%,11,0.0%,0
"Асфальтоукладчик, с шириной укладки от 2,5 до 6 м",3.2%,19,0.0%,0,5.0%,30,6.7%,40,13.0%,78,14.4%,173,68.2%,818,46.3%,556,14.0%,84,11.0%,66,1.0%,6,0.0%,0
Автомобиль бортовой,20.4%,245,30.2%,544,30.4%,365,39.4%,1654,33.1%,795,40.9%,1718,53.3%,3198,48.9%,2345,48.6%,1457,32.8%,983,32.6%,391,22.7%,272
Автомобиль бортовой с КМУ,24.2%,145,8.4%,101,18.3%,110,8.7%,104,11.3%,68,31.7%,380,32.0%,576,16.8%,201,22.0%,264,11.9%,143,2.0%,12,0.8%,5
Автоцементовоз,20.5%,123,18.7%,112,14.2%,85,15.7%,94,3.3%,20,19.7%,236,0.0%,0,0.0%,0,27.3%,164,34.0%,204,38.5%,231,13.5%,81
Автогрейдер,19.8%,238,29.8%,179,7.3%,44,48.6%,874,45.5%,819,45.2%,1084,62.3%,2241,41.3%,992,45.5%,546,28.5%,513,18.2%,109,3.0%,18
Автопланировщик,0.0%,0,0.0%,0,23.8%,143,53.0%,318,0.0%,0,31.8%,381,7.5%,45,31.8%,191,0.0%,0,42.6%,511,0.0%,0,0.0%,0
Бордюроукладчик (GOMACO GT-3600; 4400),0.0%,0,0.0%,0,0.0%,0,30.7%,184,15.2%,91,3.0%,18,16.8%,101,37.3%,224,17.3%,104,14.7%,88,0.0%,0,0.0%,0
Бетонщик,0.0%,0,0.0%,0,0.0%,0,31.2%,1498,20.8%,748,48.2%,2894,81.7%,7353,80.6%,8707,64.8%,6609,24.5%,736,0.0%,0,0.0%,0
Бетоноукладчик с шириной укладки до 6 м (GOMACO COMMANDER III),0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,18.7%,112,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Бульдозер мощностью от 81 до 179 л.с,54.2%,650,73.2%,439,36.0%,432,64.3%,2316,63.8%,1915,78.5%,2355,80.2%,3852,74.3%,1784,71.5%,1716,71.9%,1294,70.4%,845,7.3%,44
Бульдозер мощностью свыше 300 л.с.,0.3%,2,0.0%,0,0.0%,0,0.0%,0,4.7%,28,8.3%,50,2.5%,15,6.0%,36,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Бульдозер мощностью от 180 до 300 л.с.,56.9%,1366,60.7%,1821,71.8%,1724,66.9%,1204,70.0%,1681,62.9%,3399,82.6%,6446,72.4%,3907,80.6%,2901,70.4%,1267,62.9%,1509,47.9%,863
"Экскаватор гусеничный аналог мод. 180-260, Vср ковша 0,95-1,4 м3",23.5%,141,8.8%,53,28.8%,346,63.2%,1516,67.4%,1617,67.4%,2830,37.3%,672,35.0%,630,61.9%,743,48.5%,582,12.0%,72,0.0%,0
"Экскаватор гусеничный аналог мод. 270-360, Vср ковша 1,4-1,7 м3",54.0%,3240,81.7%,2941,61.9%,1856,79.0%,1422,49.6%,1488,64.4%,1545,75.5%,2264,66.0%,1584,65.1%,1171,31.3%,376,36.2%,217,45.3%,272
"Экскаватор гусеничный аналог мод. 370-470, Vср ковша 1,7-2,5 м3",54.0%,648,66.1%,1190,83.2%,998,53.6%,1928,55.5%,1332,70.7%,4667,74.8%,3589,56.0%,1343,41.0%,985,43.9%,791,47.8%,287,0.0%,0
"Экскаватор колесный, Vср ковша 0,4-0,95 м3",11.8%,141,25.6%,307,15.7%,188,24.1%,579,10.4%,125,36.4%,874,39.2%,1882,30.4%,547,35.3%,636,28.5%,171,21.3%,128,14.9%,179
Экскаватор-планировщик,0.0%,0,0.0%,0,34.9%,419,82.6%,991,68.7%,1648,48.1%,577,19.5%,117,30.8%,185,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Экскаватор-погрузчик,12.5%,75,28.8%,346,16.0%,96,30.5%,914,52.4%,1571,62.4%,2245,51.2%,3381,55.9%,2011,60.8%,1823,49.7%,596,15.5%,93,7.0%,42
"Фронтальный погрузчик средний, объем ковша от 2 до 4 м3",48.7%,584,87.3%,1048,64.9%,779,34.7%,208,0.0%,0,59.8%,2153,66.9%,1204,16.7%,100,0.0%,0,0.0%,0,0.0%,0,0.0%,0
"Фронтальный погрузчик большой, объем ковша свыше 4 м3",0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,4.8%,29,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Фреза дорожная с шириной барабана от 500 до 1400мм,47.5%,285,20.3%,122,0.0%,0,0.3%,2,0.0%,0,36.3%,218,8.0%,48,6.3%,38,38.7%,232,50.1%,601,51.7%,620,28.7%,172
Фреза дорожная с шириной барабана от 1500 мм до 2200 мм,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,78.4%,1882,92.0%,2207,31.8%,191,0.0%,0,0.0%,0,0.0%,0
Каток дорожный гладковальцовый,3.2%,19,0.0%,0,35.9%,431,38.6%,3243,41.5%,2240,40.5%,729,63.6%,4578,52.5%,5359,54.8%,4277,41.0%,2462,13.5%,162,0.0%,0
Каток дорожный комбинированный,3.2%,19,0.0%,0,35.2%,211,43.3%,1298,35.9%,861,31.2%,374,69.7%,2091,55.1%,2313,59.5%,1786,41.2%,990,4.8%,29,0.0%,0
Каток дорожный пневмоколесный,0.0%,0,0.0%,0,30.2%,181,41.7%,1251,44.7%,804,40.3%,242,66.0%,1979,53.3%,2237,57.7%,1732,39.0%,935,4.8%,29,0.0%,0
Каток грунтовый,44.2%,1061,43.8%,526,27.1%,325,58.2%,1747,64.0%,2305,66.0%,3167,87.2%,5758,82.1%,3941,70.0%,3780,80.8%,1940,62.2%,1493,42.2%,507
Каток тротуарный,0.0%,0,0.0%,0,0.0%,0,2.3%,14,0.0%,0,0.0%,0,102.3%,1228,80.7%,968,57.4%,689,103.3%,1240,44.3%,266,0.0%,0
Автокран грузоподъемностью до 25 т,17.1%,205,21.5%,258,22.7%,136,24.2%,435,37.9%,455,38.3%,690,44.4%,1331,59.3%,1779,53.1%,955,52.2%,1565,22.8%,274,0.3%,2
Минипогрузчик,2.2%,13,0.0%,0,8.0%,48,22.4%,403,19.8%,238,23.4%,281,53.1%,1593,57.2%,1717,35.1%,631,27.6%,331,11.5%,69,0.0%,0
Минитрактор,0.0%,0,0.0%,0,0.0%,0,13.5%,81,0.0%,0,0.0%,0,11.8%,71,0.0%,0,11.3%,68,10.3%,62,6.2%,37,0.0%,0
Основной рабочий,53.7%,11601,59.4%,15675,70.3%,13068,69.9%,40670,74.8%,36818,75.8%,53229,74.2%,82344,67.0%,49878,70.3%,32904,68.7%,28422,64.5%,11613,63.9%,4984
Машина для ремонта дорожных покрытий,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,14.0%,84,1.2%,7,0.0%,0,0.0%,0,5.8%,35,0.0%,0
Машина щеточная,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,2.2%,13,28.6%,343,2.2%,13,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Машина для снятия фаски,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,11.7%,70,41.8%,251,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Нарезчик швов мощностью более 15 кВт,0.0%,0,0.0%,0,0.0%,0,12.2%,146,5.9%,71,37.4%,673,44.8%,537,29.7%,178,6.8%,82,11.7%,70,0.0%,0,0.0%,0
Плавильно-заливочная машина,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,3.0%,18,39.5%,237,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Машина поливомоечная,47.0%,846,48.0%,864,47.2%,850,44.6%,1607,49.3%,1478,54.9%,2963,77.0%,4622,70.1%,4207,54.9%,3294,61.4%,2212,45.6%,1368,61.3%,1104
Распределитель бетона,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,18.7%,112,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Ресайклер,13.3%,80,34.8%,209,20.8%,249,45.0%,270,11.3%,68,29.7%,535,0.0%,0,0.0%,0,48.5%,291,0.0%,0,11.7%,70,12.0%,72
Станция компрессорная,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,29.8%,179,56.8%,681,51.6%,619,87.0%,522,0.0%,0,0.5%,3,0.0%,0
"Трактор колесный, мощностью от 51 до 100 л.с.",36.8%,441,39.8%,717,54.6%,655,45.0%,270,11.3%,68,44.2%,1061,1.2%,7,0.0%,0,40.9%,491,71.5%,858,67.9%,815,75.7%,908
"Текстуровщик, ширина текстурирования до 10 м",0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,18.7%,112,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Уширитель дорожного полотна,0.0%,0,0.0%,0,0.0%,0,2.3%,14,0.2%,1,0.2%,1,102.3%,1228,80.7%,968,57.4%,689,103.3%,1240,44.3%,266,0.0%,0
Виброрейка,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,63.7%,382,103.2%,619,87.0%,522,0.0%,0,0.0%,0,0.0%,0
